ref:ine;name;@type;@id;@lat;@lon
48027000101;Durango;node;916552;43.1707065;-2.6334897
28079000101;Madrid;node;21068295;40.4167047;-3.7035825
03014000201;Alacant / Alicante;node;21323935;38.3436365;-0.4881708
14021000901;Córdoba;node;21750062;37.8845813;-4.7760138
29067000502;Málaga;node;21750065;36.7213028;-4.4216366
07018000101;Deià;node;25656129;39.7477362;2.6483432
07040000803;Establiments;node;25656302;39.6200982;2.6246630
05130000101;Mironcillo;node;26024413;40.5547207;-4.8237308
31178000101;Murillo el Cuende;node;26282637;42.3978449;-1.6304866
31104000101;Falces;node;26286802;42.3877644;-1.7938282
48057000101;Lekeitio;node;26360661;43.3637081;-2.5059965
48004000301;Ugaran;node;26360663;43.3432434;-2.5056993
20030000299;Arrate;node;26388556;43.2045878;-2.4459506
07022000301;Felanitx;node;26475225;39.4731681;3.1476731
07013000101;Campos;node;26475934;39.4313098;3.0197912
07043000101;Porreres;node;26476151;39.5168891;3.0227517
07038000101;Montuïri;node;26476588;39.5672471;2.9813248
07065000101;Vilafranca de Bonany;node;26480876;39.5703083;3.0889977
07041000201;Petra;node;26481776;39.6134574;3.1128071
07033000601;Manacor;node;26482361;39.5696458;3.2106461
07031000301;Llucmajor;node;26483383;39.4908450;2.8913179
07004000101;Algaida;node;26483510;39.5589416;2.8943429
07004000501;Randa;node;26483890;39.5267610;2.9150423
07049000101;Sant Joan;node;26486189;39.5971435;3.0379931
07060000101;Sineu;node;26486415;39.6431400;3.0116111
07027000101;Inca;node;26486417;39.7211448;2.9111493
07001000101;Alaró;node;26490532;39.7061528;2.7907216
07033000901;Portocristo;node;26491566;39.5423251;3.3344312
07045000201;Puigpunyent;node;26492287;39.6273152;2.5283060
07045000101;Galilea;node;26492784;39.6088109;2.5052137
07047000401;Ruberts;node;26497504;39.6227284;2.9365129
33004010101;Avilés;node;26517895;43.5554436;-5.9222466
31084000101;Etxarri Aranatz;node;26535079;42.9075780;-2.0648822
28160001202;Valdemorillo;node;26541174;40.5016772;-4.0688878
31064000101;Cadreita;node;26547852;42.2181824;-1.6930439
31171000299;Vergalijo;node;26558023;42.4719404;-1.8044133
39075000501;Santander;node;26562214;43.4620412;-3.8099719
31167000101;Mendigorria;node;26563169;42.6262078;-1.8340213
31142000101;Larraga;node;26595321;42.5580517;-1.8500707
31053000101;Berbinzana;node;26607824;42.5267418;-1.8344769
20017000201;Azkoitia;node;26659863;43.1781602;-2.3114989
20018000101;Azpeitia;node;26660063;43.1838618;-2.2657422
07063000401;Valldemossa;node;26737314;39.7108465;2.6230264
07061000301;Port de Sóller;node;26749604;39.7977610;2.6964152
07025000101;Fornalutx;node;26764261;39.7826120;2.7410901
03140000499;Sierra de Salinas;node;26864629;38.4979951;-1.0122136
20019000401;Beasain;node;26985185;43.0473269;-2.2032868
48020000101;Bilbao;node;27000762;43.2630018;-2.9350039
01059006301;Vitoria-Gasteiz;node;27000791;42.8465088;-2.6724025
20074000701;Bergara;node;27003257;43.1175442;-2.4133452
31065000101;Caparroso;node;27293964;42.3395614;-1.6543719
31205000101;Pitillas;node;27307003;42.4226867;-1.6203754
35015000802;Costa Calma;node;27333352;28.1607676;-14.2300785
20057000101;Mutiloa;node;27552519;43.0220391;-2.2727507
20055000401;Arrasate / Mondragón;node;27552520;43.0656783;-2.4900779
20075000201;Villabona;node;27552521;43.1876792;-2.0534727
20040000502;Hernani;node;27552523;43.2661107;-1.9747419
20014000101;Asteasu;node;27552524;43.1928306;-2.0953614
20030000301;Eibar;node;27552525;43.1842839;-2.4732748
20044000201;Ikaztegieta;node;27552526;43.0945249;-2.1242678
20078000101;Zaldibia;node;27552527;43.0410543;-2.1497279
20081000301;Zumaia;node;27552528;43.2966530;-2.2571182
20053000101;Lezo;node;27552529;43.3212392;-1.8996138
20031000101;Elduain;node;27552530;43.1406884;-2.0006998
20032000201;Elgoibar;node;27552531;43.2143558;-2.4168588
20070000101;Segura;node;27552532;43.0090019;-2.2530011
20907000201;Gaztelu;node;27552533;43.1164447;-2.0228291
20061000101;Orio;node;27552534;43.2760488;-2.1272620
20028000101;Zizurkil;node;27552535;43.1992503;-2.0741092
20054000101;Lizartza;node;27552536;43.1033934;-2.0344740
20901000000;Mendaro;node;27552537;43.2525004;-2.3858392
20002000101;Aduna;node;27552538;43.2038168;-2.0500990
20029000101;Deba;node;27552539;43.2941410;-2.3539311
20013000301;Aretxabaleta;node;27552540;43.0359732;-2.5036785
20026000101;Zerain;node;27552541;43.0125385;-2.2733725
20905000101;Orendain;node;27552542;43.0794987;-2.1141376
20043000101;Idiazabal;node;27552543;43.0106787;-2.2336128
20025000301;Zegama;node;27552544;42.9758111;-2.2903010
20071000801;Tolosa;node;27552545;43.1386097;-2.0723558
20068000101;Leintz Gatzaga;node;27552546;42.9868906;-2.5687408
20056000301;Mutriku;node;27552547;43.3071181;-2.3871098
20003000101;Aizarnazabal;node;27552549;43.2557918;-2.2362989
20059001001;Oñati;node;27552550;43.0328523;-2.4137149
20079000401;Zarautz;node;27552551;43.2834873;-2.1723467
20011000101;Antzuola;node;27552552;43.0985941;-2.3810959
20023000101;Berrobi;node;27552553;43.1455807;-2.0266424
20041000101;Hernialde;node;27552554;43.1544948;-2.0851940
20903000101;Astigarraga;node;27552556;43.2815684;-1.9474769
20016000301;Aia;node;27552557;43.2364978;-2.1486633
20012000101;Arama;node;27552558;43.0634673;-2.1655819
20077000101;Urretxu;node;27552559;43.0920435;-2.3170309
20024000200;Bidania-Goiatz;node;27552560;43.1418612;-2.1632121
20035000201;Ezkio;node;27552561;43.0812994;-2.2754976
20027000401;Zestoa;node;27552562;43.2401376;-2.2585203
20052000101;Legorreta;node;27552563;43.0848925;-2.1486222
20034000301;Eskoriatza;node;27552564;43.0174857;-2.5268030
20047000201;Itsasondo;node;27552565;43.0678266;-2.1672356
20007000101;Altzo;node;27552566;43.1004025;-2.0842078
20020000101;Beizama;node;27552567;43.1340799;-2.2005399
20037000100;Gaintza;node;27552568;43.0530503;-2.1331865
20080000101;Zumarraga;node;27552569;43.0859968;-2.3140925
20067000101;Errenteria;node;27552571;43.3125271;-1.8986133
20906000101;Altzaga;node;27552572;43.0645573;-2.1543131
20062000101;Ormaiztegi;node;27552573;43.0431256;-2.2548140
20049000101;Lazkao;node;27552574;43.0334542;-2.1861651
20045000201;Irun;node;27552575;43.3383176;-1.7888095
20902000101;Lasarte-Oria;node;27552577;43.2684642;-2.0193784
20008000101;Amezketa;node;27552578;43.0489646;-2.0878104
20058000101;Olaberria;node;27552579;43.0269276;-2.2036619
20904000101;Baliarrain;node;27552580;43.0694191;-2.1283913
20033000101;Elgeta;node;27552581;43.1367656;-2.4874683
20006000101;Alkiza;node;27552582;43.1725845;-2.1089901
20073000501;Usurbil;node;27552583;43.2703088;-2.0502559
20048000101;Larraul;node;27552584;43.1879341;-2.1023955
20021000101;Belauntza;node;27552585;43.1350267;-2.0503391
20039000301;Getaria;node;27552586;43.3044559;-2.2037374
20004000101;Albiztur;node;27552587;43.1294954;-2.1374208
20066000501;Errezil;node;27552589;43.1647321;-2.1743978
20050000301;Leaburu;node;27552590;43.1246812;-2.0523170
20010000101;Anoeta;node;27552592;43.1620711;-2.0712454
20076000101;Ordizia;node;27552593;43.0539687;-2.1795046
20072000301;Urnieta;node;27552595;43.2468700;-1.9917045
20038000301;Gabiria;node;27552596;43.0502538;-2.2791464
20036000401;Hondarribia;node;27552597;43.3624468;-1.7914309
20065000101;Soraluze-Placencia de las Armas;node;27552598;43.1742777;-2.4128759
20042000101;Ibarra;node;27552600;43.1316471;-2.0622574
20022000101;Berastegi;node;27552601;43.1241497;-1.9791586
20051000201;Legazpi;node;27552602;43.0512350;-2.3344403
20009000101;Andoain;node;27552603;43.2183411;-2.0199432
20005000101;Alegia;node;27552604;43.1004352;-2.0983582
20060000100;Orexa;node;27552605;43.0942358;-2.0113193
20001000101;Abaltzisketa;node;27552606;43.0478420;-2.1052186
04049000101;Garrucha;node;27645188;37.1853447;-1.8204711
04064000501;Mojácar;node;27645437;37.1402087;-1.8510071
04032000401;Carboneras;node;27645528;36.9968699;-1.8946552
04053100201;Huércal-Overa;node;27645839;37.3895979;-1.9450652
04069000501;Olula del Río;node;27715675;37.3552688;-2.2965931
04044000501;Fines;node;27715736;37.3600020;-2.2632918
04092000701;Tíjola;node;27715948;37.3449275;-2.4391712
04076000201;Purchena;node;27715974;37.3476473;-2.3613270
31228010101;Campanas;node;27799677;42.6895187;-1.6502879
31088000501;Noáin;node;28075930;42.7627828;-1.6341152
31201000201;Pamplona / Iruña;node;28849760;42.8181992;-1.6440089
